repo,all_issues,issues_without_label,issues_with_label,label_usage_percentage
TangoAgency/material-intro-screen,183,155,28,0.15300546448087432
florent37/ShapeOfView,72,68,4,0.05555555555555555
jiajunhui/PlayerBase,130,115,15,0.11538461538461539
szerhusenBC/jwt-spring-security-demo,106,36,70,0.660377358490566
FasterXML/jackson-databind,2822,2344,478,0.1693834160170092
glomadrian/Grav,24,21,3,0.125
SimonVT/android-menudrawer,271,271,0,0.0
beworker/pinned-section-listview,96,84,12,0.125
Todd-Davies/ProgressWheel,70,70,0,0.0
liangfeidotme/MasteringAndroidDataBinding,51,51,0,0.0
chennaione/sugar,815,627,188,0.23067484662576687
evrencoskun/TableView,336,291,45,0.13392857142857142
harjot-oberai/MusicDNA,72,68,4,0.05555555555555555
spring-cloud/spring-cloud-gateway,1928,626,1302,0.6753112033195021
pushtorefresh/storio,912,161,751,0.8234649122807017
watabou/pixel-dungeon,89,89,0,0.0
j-easy/easy-rules,312,149,163,0.5224358974358975
googlesamples/google-services,472,457,15,0.03177966101694915
pedrovgs/Algorithms,65,56,9,0.13846153846153847
500px/500px-android-blur,41,40,1,0.024390243902439025
JavaNoober/BackgroundLibrary,111,111,0,0.0
JackyAndroid/AndroidTVLauncher,42,38,4,0.09523809523809523
flavioarfaria/KenBurnsView,60,54,6,0.1
cyrilmottier/GreenDroid,20,19,1,0.05
ballerina-platform/ballerina-lang,25963,13802,12161,0.4683973346685668
JSQLParser/JSqlParser,1040,1016,24,0.023076923076923078
google/hover,100,91,9,0.09
googlearchive/android-ConstraintLayoutExamples,56,56,0,0.0
amitshekhariitbhu/awesome-android-complete-reference,15,15,0,0.0
chanjarster/weixin-java-tools,83,83,0,0.0
saysky/ForestBlog,48,41,7,0.14583333333333334
aritraroy/PatternLockView,39,37,2,0.05128205128205128
gouthampradhan/leetcode,8,8,0,0.0
florent37/DiagonalLayout,31,30,1,0.03225806451612903
AbrahamCaiJin/CommonUtilLibrary,41,41,0,0.0
siyamed/android-shape-imageview,89,86,3,0.033707865168539325
mihaip/dex-method-counts,50,50,0,0.0
huazhiyuan2008/RecyclerViewCardGallery,3,3,0,0.0
nisrulz/sensey,53,40,13,0.24528301886792453
micrometer-metrics/micrometer,2260,972,1288,0.5699115044247788
Javen205/IJPay,34,34,0,0.0
traccar/traccar,4536,4536,0,0.0
tyzlmjj/PagerBottomTabStrip,76,76,0,0.0
pchmn/MaterialChipsInput,137,126,11,0.08029197080291971
bastillion-io/Bastillion,355,353,2,0.005633802816901409
jjoe64/GraphView,661,400,261,0.394856278366112
sockeqwe/AdapterDelegates,97,93,4,0.041237113402061855
r0adkll/Slidr,83,75,8,0.0963855421686747
fengjundev/Android-Skin-Loader,44,44,0,0.0
rishabh115/SDE-Interview-Questions,96,80,16,0.16666666666666666
simple-android-framework/android_design_patterns_analysis,8,8,0,0.0
cSploit/android,1000,751,249,0.249
esoxjem/MovieGuide,108,85,23,0.21296296296296297
ldoublem/LoadingView,15,14,1,0.06666666666666667
deano2390/MaterialShowcaseView,197,192,5,0.025380710659898477
dlew/joda-time-android,256,254,2,0.0078125
android-notes/Cockroach,52,52,0,0.0
prontera/spring-cloud-rest-tcc,58,55,3,0.05172413793103448
dingjikerbo/Android-BluetoothKit,151,151,0,0.0
LuckyJayce/ViewPagerIndicator,82,82,0,0.0
Cleveroad/SlidingTutorial-Android,73,63,10,0.136986301369863
tiann/epic,11,11,0,0.0
spring-projects/spring-loaded,225,222,3,0.013333333333333334
romainguy/ViewServer,34,34,0,0.0
xuexiangjys/XUI,62,31,31,0.5
facebookarchive/device-year-class,41,19,22,0.5365853658536586
jeremylong/DependencyCheck,2824,1004,1820,0.6444759206798867
brianway/springmvc-mybatis-learning,20,18,2,0.1
jaydenxiao2016/AndroidFire,53,53,0,0.0
Fuzion24/JustTrustMe,50,50,0,0.0
florent37/ViewAnimator,55,54,1,0.01818181818181818
